;Rank;Titulo;Runtime;Genero;Director;Actor
1;1;What Lies Below;87;Horror;Braden R. Duemmler;Ema Horvath
2;2;The Father;97;Drama;Florian Zeller;Anthony Hopkins
3;3;Concrete Cowboy;111;Drama;Ricky Staub;Idris Elba
4;4;Run;90;Mystery;Aneesh Chaganty;Sarah Paulson
5;5;Promising Young Woman;113;Crime;Emerald Fennell;Carey Mulligan
6;6;Wonder Woman 1984;151;Action;Patty Jenkins;Gal Gadot
7;7;Nomadland;107;Drama;Chloé Zhao;Frances McDormand
8;8;Tenet;150;Action;Christopher Nolan;John David Washington
9;9;The Trial of the Chicago 7;129;Drama;Aaron Sorkin;Eddie Redmayne
10;10;Minari;115;Drama;Lee Isaac Chung;Steven Yeun
11;11;I Care a Lot;118;Comedy;J Blakeson;Rosamund Pike
12;12;365 dni;114;Drama;Barbara Bialowas;Anna Maria Sieklucka
13;13;Soul;100;Animation;Pete Docter;Jamie Foxx
14;14;Hasta el cielo;121;Action;Daniel Calparsoro;Miguel Herrán
15;15;Unhinged;90;Action;Derrick Borte;Russell Crowe
16;16;The Dry;117;Crime;Robert Connolly;Eric Bana
17;17;Druk;117;Comedy;Thomas Vinterberg;Mads Mikkelsen
18;18;News of the World;118;Action;Paul Greengrass;Tom Hanks
19;19;Palm Springs;90;Comedy;Max Barbakow;Andy Samberg
20;20;Mank;131;Biography;David Fincher;Gary Oldman
21;21;The Courier;112;Thriller;Dominic Cooke;Benedict Cumberbatch
22;22;Monster Hunter;103;Action;Paul W.S. Anderson;Milla Jovovich
23;23;Shiva Baby;77;Comedy;Emma Seligman;Rachel Sennott
24;24;Antebellum;105;Drama;Gerard Bush;Janelle Monáe
25;25;Pieces of a Woman;126;Drama;Kornél Mundruczó;Vanessa Kirby
26;26;Ma Rainey's Black Bottom;94;Drama;George C. Wolfe;Viola Davis
27;27;Aves de presa y la fantabulosa emancipación de una Harley Quinn;109;Action;Cathy Yan;Margot Robbie
28;28;Honest Thief;99;Action;Mark Williams;Liam Neeson
29;29;The Devil All the Time;138;Crime;Antonio Campos;Tom Holland
30;30;Hillbilly Elegy;116;Drama;Ron Howard;Amy Adams
31;31;Bill & Ted Face the Music;91;Adventure;Dean Parisot;Keanu Reeves
32;32;Greenland;119;Action;Ric Roman Waugh;Gerard Butler
33;33;El hombre invisible;124;Drama;Leigh Whannell;Elisabeth Moss
34;34;One Night in Miami;114;Drama;Regina King;Kingsley Ben-Adir
35;35;Retfærdighedens ryttere;116;Action;Anders Thomas Jensen;Mads Mikkelsen
36;36;Enola Holmes;123;Action;Harry Bradbeer;Millie Bobby Brown
37;37;WolfWalkers;103;Animation;Tomm Moore;Honor Kneafsey
38;38;Mulan;115;Action;Niki Caro;Yifei Liu
39;39;Hamilton;160;Biography;Thomas Kail;Lin-Manuel Miranda
40;40;The King of Staten Island;136;Comedy;Judd Apatow;Pete Davidson
41;41;Mainstream;94;Comedy;Gia Coppola;Maya Hawke
42;42;After We Collided;105;Drama;Roger Kumble;Josephine Langford
43;43;Kimetsu no Yaiba: Mugen Ressha-Hen;117;Animation;Haruo Sotozaki;Natsuki Hanae
44;44;Love and Monsters;109;Action;Michael Matthews;Dylan O'Brien
45;45;The Empty Man;137;Crime;David Prior;James Badge Dale
46;46;Scoob!;93;Animation;Tony Cervone;Will Forte
47;47;Emma.;124;Comedy;Autumn de Wilde;Anya Taylor-Joy
48;48;I'm Thinking of Ending Things;134;Drama;Charlie Kaufman;Jesse Plemons
49;49;Los Croods 2: Una Nueva Era;95;Animation;Joel Crawford;Nicolas Cage
50;50;A Quiet Place Part II;97;Drama;John Krasinski;Emily Blunt
51;51;The Witches;106;Adventure;Robert Zemeckis;Anne Hathaway
